No. Empleado ,Insight,Energizar y comprometer,Lograr resultados a través de otros,Coaching y desarrollo,Influir con integridad,Coraje
10167302,4.6,4.8,4.8,4.6,4.6,4.8
10968888,4.5,4.8,4.8,3.6,4.8,4.3
1202433,4.7,4.7,4.2,3.6,4.8,4.7
1204259,3.3,3.6,3.6,3.6,3.6,3.6
1204866,4.6,4.5,4.6,4.4,4.6,4.6
10612525,4,3.7,3.6,3.6,4.8,4.3
183566,4.8,4.8,4.3,4.8,3.8,4.8
10016324,4.3,4.5,4.4,4.2,4.6,4.4
10188659,3.6,3.8,4.2,3.8,4.6,4.8
10844860,4.8,4.8,4.8,4.8,4.6,4.8
10526980,4.6,4.7,4.6,4.6,4.6,4.6
10931962,3.6,3.6,3.6,3.6,3.6,3.1
1200621,4.5,4.5,4.1,4.2,4.6,4.7
10281714,3.7,4.6,4.4,3.4,3.6,4.1
10435124,4.8,4.6,4.8,4.6,4.8,4.8
10015365,3.7,4.8,4.6,4.6,4.8,4.6
1201759,4.8,4.8,4.8,4.8,4.8,4.8
11043645,3.1,4.6,3.7,4.6,3.6,3.7
10347268,3.6,4.2,3.5,3.6,3.6,4.7
10596033,4.6,4.8,4.8,4.8,4.8,4.8
1206556,4.8,4.8,4.3,4.8,4.8,4.8
165241,4.1,2.6,2.7,2.6,4.6,4.6
10513145,3.9,4.4,3.4,4.4,4.4,4.4
10284233,4.6,4.6,4.8,4.6,4.6,4.8
10012703,4.4,4.6,4.8,4.8,4.8,4.6
10400088,4.6,3.8,4.1,3.8,3.8,4.7
10577645,4.8,4.8,4.8,4.8,4.8,4.3
1202044,4.6,4.8,4.6,3.6,3.6,4.2
10655826,3.6,4.7,3.6,4.6,3.6,4.6
10200532,4.5,4.8,4.3,4.4,4.4,4.4
10118088,3.6,3.6,3.6,3.6,4.8,4.6
1201145,3.6,4.8,4.7,4.6,4.4,4.6
1203232,4.7,4.7,4.8,4.6,4.6,4.7
10036177,4.4,4.2,4.6,4.4,4.4,4.7
10908004,4.4,4.4,4.6,3.4,4.4,4.6
1201030,3.6,4,3.5,3.6,3.6,3.6
10502744,4.3,4.4,4.4,3.2,4.8,3.8
10353297,4.4,4.6,3.4,4.6,4.4,4
10977945,3.6,4.6,4.6,4.4,3.6,4.6
10772620,4.5,4.6,4,3.4,4.4,3.9
10560320,3.6,4.8,4.8,4.8,4.6,4.8
1200548,4.8,4.8,4.8,4.8,4.8,4.8
10755317,4.6,4.6,4.6,4.6,4.6,4.7
10496267,4.1,4.5,4.6,4.4,4.6,4.6
10720513,4.8,4.7,4.8,4.6,4.8,4.8
10697516,4.6,3.8,4.6,4.8,4.8,4.8
1204237,4.1,4.6,4.1,4.8,4.6,4.7
10776399,4.6,4.8,4.6,3.6,4.6,4.3
10759492,4.6,4,4.6,4.4,4.6,3.6
10485158,4.8,4.8,4.8,4.6,4.6,4.6
10852784,4.7,3.6,3.1,2.6,3.8,3.7
10189100,4.5,4.4,4.6,4.4,4.4,4.5
10802730,4,4.4,3.5,3.2,4.2,3.4
10839215,4.5,3.4,4.6,3.2,3.4,3.6
1203697,4,4.7,4.4,3.4,4.6,3.5
1203998,4.4,4.6,4.5,4.6,4.6,4.6
10372491,4.5,4.1,3.4,3.4,3.6,2.6
10754674,4.8,4.8,4.8,4.8,4.8,4.8
10763313,4.7,4.8,4.6,4.6,4.6,4.8
10856124,4.6,4.1,3.9,4.2,3.8,4.8
11062298,4.6,4.8,4.5,4.4,4.8,4.8
10220906,3.6,4.6,4.2,4.8,4.6,4.6
10895098,4.5,4.8,4.6,4.6,3.6,3.6
10789223,3.1,4.5,4.6,3.6,4.8,4.6
10584431,4.1,4.7,4.6,4.6,4.6,4.6
10859159,4.5,4.5,4.5,4.6,4.6,4.5
10519202,4.6,4.6,4.6,3.4,4.6,4.6
10018309,3.4,4.5,4.6,3.6,4.6,3.4
10012703,4.4,4.4,4.6,4.6,4.6,4.6
10747720,4.1,4.2,4.8,3.6,4.8,4.8
10423100,4.6,4.6,4.4,4.4,4.6,4.4
10476082,4.6,3.1,4.6,4.6,4.6,4.6
11044281,4.1,4.7,4.6,3.6,4.8,4.6
10776390,4.6,4.6,4.6,4.6,4.6,4.6
10238372,4.1,4.6,4.7,4.8,4.8,4.6
1204157,4.8,4.8,4.8,4.8,4.8,4.7
10998685,4.4,4.8,4.6,4.8,4.8,4.8
10961015,3.5,4.6,4.6,2.6,4.6,4.1
10063977,4.7,4.6,4.7,4.6,4.8,4.8
11052481,4.1,4.7,4.6,4.4,3.6,3.7
10583577,4.7,4.7,4.8,4.6,4.6,4.6
10788587,4.1,4.8,4.8,4.6,3.8,4.3
10761470,3.8,4.8,3.7,3.6,3.8,4.8
10788058,4.6,3.6,4.1,4.6,3.6,4.1
10828166,4.6,4.6,4.6,4.6,4.8,4.6
10015385,4.7,4.3,3.6,3.8,4.6,3.7
10864558,4.4,4.4,4.5,4.4,4.6,4.6
10856127,4.4,4.6,4.5,4.4,3.6,4.6
11052201,4.6,4.8,4.6,4.6,4.8,4.8
11060178,4.8,4.6,4.7,4.8,4.6,4.8
10271704,4.8,4.6,4.6,3.6,4.8,4.6
10482196,4.1,3.7,4.6,4.6,3.4,4.6
10363730,3.1,3.6,3.6,3.6,4.6,4.7
11004920,4.1,3.6,2.7,3.6,2.8,3.7
11030425,4.5,4.8,4.8,4.8,4.4,4.6
10300960,3.4,4.3,4.1,3.6,3.6,3.4
10859115,4.5,4.4,4.6,3.6,4.4,4.4
10886727,4.7,4.8,4.8,4.8,4.8,4.8
10234573,4.7,4.8,4.6,3.8,3.6,4.3
10961014,3.5,4.1,2.6,3.6,3.6,2.6
10968928,4.6,4.3,4.7,4.8,4.6,4.7
10737087,3.7,4.6,4.1,3.4,4.6,4.6
11008801,4.4,4.6,4.6,4.6,4.6,4.6
10984272,4.6,4.5,4.6,4.4,4.6,4.6
10354350,2.4,3.9,3.6,3.4,3.6,3.5
10202616,4.3,4.6,4.8,4.6,4.8,4.8
10577753,4.5,4.6,4.6,4.6,4.6,4.6
1203813,4.4,4.7,4.6,4.4,4.8,4.6
10773479,4.6,3.8,4.6,4.2,4.4,4.6
10933784,4.4,3.5,4.6,3.6,3.4,3.6
1201443,4.3,4.6,4.4,4.6,4.6,4.6
10425557,4.6,4.6,4.6,4.6,3.6,4.6
1204181,4.6,4.6,4.6,4.6,4.8,4.8
10548800,4.2,4.6,4.6,4.6,4.8,4.8
10699925,4.2,4.1,4.8,4.6,3.8,4.7
10813240,4.5,4.8,4.8,4.6,4.6,4.8
1201118,4.7,4.8,4.8,4.8,4.8,4.8
1210141,4.3,4.8,4.8,4.8,4.6,4.3
1202684,4.6,4.3,3.7,3.8,3.6,4.7
10826383,4.6,4.6,4.6,4.6,4.6,4.6
10449577,3.8,3.7,3.7,3.6,3.4,3.6
10779214,4.6,4.7,4.6,4.6,4.4,4.6
10779215,4.5,4.1,4.1,3.6,3.4,3.6
10813216,4.4,4.8,4.6,4.4,4.4,4.4
11013558,3.6,4.2,3.6,3.6,3.6,3.6
10068670,4.3,3.8,4.3,3.8,4.8,4.8
11034111,4.3,4.6,4.4,4.4,4.4,4.4
11041390,2.6,3.8,3.8,3.4,3.8,3.8
10776374,3.6,4.3,3.8,2.6,4.6,3.8
11040318,3.8,4.8,4.8,4.6,4.8,4.7
10023587,3,2.7,4.5,3.6,3.6,3.1
10802725,3.9,4.5,3.9,4.6,4.6,4.4
10788437,1.5,1.5,3.6,4.4,4.6,4.6
11051573,3.3,4.8,3.8,4.8,3.8,4.8
10562854,4.4,4.6,4.4,4.2,4.4,4.5
10780593,4.3,4.8,4.7,4.6,4.8,4.8
10472084,3.1,4.4,4.6,4.6,4.8,4.6
10727191,4.6,4.7,4.8,4.6,4.6,3.8
10385756,3.6,4.6,4,4.6,4.6,3.6
10844580,2.7,1.8,1.6,2.6,1.6,1.8
1202978,4.6,4.8,4.3,4.8,4.8,4.8
10842967,4.4,4.8,4.6,4.6,4.4,4.6
10538996,4.4,4.4,4.4,4.4,4.6,4.6
10648173,4.8,4.8,3.8,4.8,4.6,4.6
1202650,4.5,4.6,4.6,4.6,4.6,4.6
10743465,3.6,4.7,3.6,4.6,4.8,4.6
10026001,4.8,4.8,4.6,3.8,4.8,4.8
11008457,4.6,4.6,4.6,4.6,4.6,4.6
10066477,4.6,4.6,4.6,4.6,4.8,4.6
10331085,4.6,4.5,4.6,4.6,4.6,4.6
10182486,3.7,4.8,4.2,3.6,4.8,3.7
10661146,4.4,4.6,4.6,4.6,4.6,4.6
10871738,3.6,4.2,3.7,3.6,3.8,3.8
1202440,3.7,4.8,4.7,3.8,3.8,3.8
10895100,4.8,4.7,4.7,4.6,4.6,4.6
10543198,4.5,4.8,4.6,4.6,4.6,4.6
10973758,4.6,4.1,3.6,3.6,4.6,3.6
10053128,4.1,4.6,4.1,3.4,3.6,4.6
10182474,4.3,4.7,3.8,3.8,4.8,4.6
1201833,2.5,4.6,3.6,3.6,4.6,4.1
10179771,4.8,4.3,4.8,4.8,4.8,4.8
1290329,4.4,4.4,4.4,4.4,4.6,4.4
10960998,3.8,3.8,3.8,3.8,4.8,4.8
10265377,4.6,4.8,4.7,4.8,4.8,4.8
1200695,2.4,4.6,3.6,4.4,2.6,3.5
21894760,4.6,4.6,4.6,4.6,4.6,4.6
10555294,4,4.8,3.6,3.6,4.6,3.1
10338342,3.8,4.8,4.8,4.8,3.8,4.3
10580121,4.5,4.1,4.6,4.4,4.4,4.5
10364191,3.6,3.7,3.7,4.8,3.6,4.6
10596255,4.1,4.7,4.6,3.8,4.6,4.8
10021441,3.4,4.6,3.4,3.4,3.6,4.1
10789242,4.4,4.6,4.6,4.4,4.6,4.5
10449905,2.9,4.6,3.5,3.6,3.4,3.6
10661427,4.6,4.8,4.8,4.8,4.8,4.8
10492687,4.3,4.8,4.3,3.8,3.8,4.3
10765315,3.6,4.8,3.7,4.8,4.6,4.8
10643539,3.6,4.8,4.2,3.8,3.8,4.8
10910321,4.6,4.6,4.6,4.4,4.6,4.6
10643198,3.4,4.8,4.1,3.6,3.6,3.7
10977934,4.1,4.8,3.6,3.8,4.6,3.7
10386037,3.5,3.6,3.1,2.6,3.4,2.6
10601912,4.1,4.8,4.6,4.6,4.8,4.8
10078561,3.6,4.8,4.6,4.6,4.6,4.1
11030057,4.6,4.6,4.1,4.6,4.6,4.6
11029289,4.6,4.6,3.6,3.6,3.6,4.6
10016875,3.6,4.6,4.6,4.6,4.6,4.8
10637758,3.6,4.3,3.6,2.6,3.8,3.6
10779714,3.9,4.3,4.4,4.4,3.4,4.5
1201171,4.4,3.6,4.1,3.6,4.6,4.1
