ID,indice
10341094,4.146049537
1204049,4.111565177
1200303,4.109338987
10165247,4.106925065
10835490,4.095339115
10828166,4.09282724
10140347,4.084963191
10969710,4.079884453
1202744,4.075053338
10501871,4.07303506
10969712,4.071904214
1202744,4.066727905
1210122,4.065266193
10828166,4.062701567
1205411,4.060959903
10107744,4.059527187
10322719,4.059510447
10610878,4.057258741
10779214,4.056729428
10880056,4.055431124
10985824,4.053064774
10501873,4.052330194
10859164,4.052032608
10761248,4.051141829
1203872,4.049746925
10736732,4.048599407
10202594,4.048179814
10053504,4.047894695
11009862,4.043602795
10835220,4.043560025
10120173,4.042437893
10670499,4.041844037
10844589,4.041708812
10723472,4.040607328
1201022,4.038529791
10828166,4.037866771
10828166,4.037866771
10879650,4.037866771
10917731,4.037866771
10980996,4.037866771
10980996,4.037866771
11033477,4.036941906
10924859,4.036791074
10543195,4.035772242
10581045,4.035148505
10796518,4.035142474
1206250,4.034915696
10640794,4.034894201
10053504,4.034195012
10098011,4.033315021
10779230,4.032922659
11001777,4.02935497
10819881,4.029197512
10849723,4.029155146
10508553,4.026947447
10818897,4.024106915
10298739,4.020175313
10981644,4.018346527
10793708,4.017617525
10764395,4.016336129
10393267,4.015281373
10563360,4.012849395
10759491,4.009937694
10019754,4.009104891
10751205,4.008790654
11011346,4.006906382
10923137,4.006478164
10443864,4.006475778
10015243,4.005621808
10438149,4.00453847
10877521,4.003124894
10617154,4.00304366
10819525,4.003013455
10840735,4.000564705
10835226,3.999940001
10991802,3.999850371
10835210,3.999192385
10438792,3.998384142
10788558,3.997653311
10828169,3.997521661
10563359,3.996676961
10933834,3.994521766
10836774,3.994352777
11022471,3.994287862
10889145,3.991386246
1290268,3.990839164
10765620,3.990271477
10750510,3.989968779
10765323,3.988112659
1205411,3.985607002
10750510,3.983683142
11030414,3.98348538
10653723,3.983076495
10727153,3.982469003
10830506,3.982022342
1201031,3.980200159
10840735,3.979569217
10684146,3.979260447
10960997,3.978477796
10880029,3.978414229
10750503,3.978278059
10618216,3.978270509
10819525,3.977843022
10952456,3.9770039
1206877,3.976471431
10743473,3.973588478
10327609,3.973286132
1290216,3.972640021
10998700,3.971828204
10659924,3.967585648
1203331,3.967344401
10462066,3.96661181
10657124,3.966578846
10029640,3.965661014
10737107,3.96547811
10813245,3.964110499
10181764,3.963022893
10910334,3.961421345
10563362,3.961412508
10563362,3.961412508
1206877,3.961326957
10733297,3.961234536
10593767,3.960570208
10683831,3.95697178
10210270,3.955636458
10508553,3.955390489
1201884,3.954658904
10644788,3.954262881
10216369,3.9526737
10828169,3.951035445
10964166,3.950408271
10844589,3.950054041
10941433,3.949614265
10998622,3.949258252
10810401,3.949209764
10587555,3.946687215
1204040,3.946513287
10474037,3.946132826
10837793,3.946066452
10806857,3.945823181
10602258,3.945814271
1203107,3.944477861
10267627,3.944462865
10215211,3.944365678
10737107,3.941738078
1200569,3.937109173
10837456,3.936643861
10921718,3.936496286
10779219,3.936235428
10653722,3.935528012
10800547,3.934798018
10583745,3.933597157
10773479,3.933227053
10271462,3.933196023
10020113,3.932394226
10866424,3.932304194
10405435,3.932220982
10502191,3.9318687
10860278,3.931579167
10596064,3.930274319
10956581,3.929629978
10654780,3.92657198
10043549,3.92640868
10913917,3.925425582
10973761,3.925128151
10198561,3.922482721
11020004,3.922389676
10467214,3.921683565
10810403,3.919576778
10750507,3.91807241
10810330,3.917744277
10466116,3.917546473
10583974,3.917515457
10166200,3.917051876
10764382,3.916254936
10463455,3.914968446
10670499,3.913499382
10200432,3.912803571
10899067,3.91236234
10990151,3.912145592
10843341,3.912127051
1203873,3.911784047
1271034,3.911444046
10914399,3.910563985
10400727,3.910309238
10067235,3.910158561
10694029,3.908330541
10914399,3.90792974
10200432,3.904953629
10132433,3.904935066
1201580,3.90448386
10765302,3.904068502
10568406,3.903791866
10729489,3.90368452
10886732,3.90295201
10540044,3.902370513
1201886,3.902359335
10977932,3.902130526
10537108,3.901984959
10287236,3.901921325
10960986,3.901488833
10717719,3.901086989
10723306,3.900855733
10979225,3.900216446
10028015,3.899069253
10552495,3.89847524
10727153,3.898372662
10789224,3.897125118
10694029,3.896599529
10986714,3.896111917
11009861,3.895918354
1201276,3.895203806
10779226,3.895041897
1204438,3.894791209
10969709,3.894677983
10568438,3.894467552
10806929,3.894460423
10977952,3.894152558
10647916,3.893339614
1205416,3.89248954
10865991,3.891898654
10601966,3.891615057
10838888,3.88990926
10801226,3.889594486
10717719,3.889593474
10880312,3.889174472
10461078,3.889050886
10562914,3.888452891
10793949,3.887904361
10456534,3.886301124
10185612,3.885939507
10812860,3.8856198
10908622,3.88545631
10961007,3.885085005
10693179,3.884840769
10784817,3.883623276
10858818,3.882727233
10703417,3.882056662
10906537,3.88116548
10723306,3.880617525
10892076,3.880103746
10051512,3.879791444
10768963,3.878600685
10948009,3.876727318
10810330,3.87670608
10442925,3.876689565
10647913,3.876404749
10684142,3.875951509
10964851,3.87331044
10813216,3.873299568
1204414,3.873101194
10961011,3.872227416
10208315,3.871645277
10568461,3.871412978
10788558,3.870804509
10751195,3.870726885
10889153,3.870684332
10552495,3.869811433
10709691,3.866911351
10826817,3.866596592
10723255,3.866151664
10985817,3.862649684
1206091,3.861764139
10371166,3.86096685
10814283,3.859490973
10216369,3.859178741
10937981,3.857767736
1201966,3.856922164
1290220,3.85677799
10730850,3.856501334
10975037,3.855420313
10818897,3.855320207
10886732,3.855175952
1202933,3.854403294
10181764,3.852747005
10243042,3.852366488
10673459,3.850710977
10759486,3.850679625
10810371,3.850193809
10961011,3.850066915
10826374,3.849520438
10982367,3.849280072
10281812,3.849190171
10725176,3.849123135
10810355,3.848075912
1200938,3.84696726
10714861,3.846761325
10864887,3.846664859
10985825,3.845945518
10837471,3.845394443
10762057,3.845310903
10551678,3.845284386
10795000,3.844732475
10981643,3.841930206
10265255,3.841763175
1207037,3.841567465
10835209,3.8385064
10913910,3.837805168
10956614,3.837347913
10633095,3.837212656
10612686,3.836709284
10850965,3.835984256
10853359,3.83598364
10186693,3.835840859
10961011,3.833943727
10190749,3.833146913
10219341,3.83185453
10964167,3.831793531
10899064,3.830919403
10747516,3.829714294
10499176,3.828559288
10615482,3.827728427
10605618,3.827438941
11004909,3.827356006
10014763,3.827293985
10737096,3.826535652
1210461,3.8256491
10523105,3.825416847
10984171,3.824618101
10171716,3.824324818
10461070,3.823328606
10076267,3.82252558
10913930,3.822313056
10417232,3.822064167
10761859,3.8220379
10779215,3.821611379
10933824,3.820703001
10609944,3.820542024
10708680,3.820498463
1271034,3.819539812
10800303,3.819395256
10910313,3.819248508
10761859,3.818565461
10940749,3.81797424
10385400,3.817882805
10880035,3.817594344
10832071,3.815196934
10548809,3.815008088
10475069,3.813686961
10568521,3.812953332
10694030,3.811895627
10190749,3.811260181
10605594,3.810094601
10925127,3.810002508
10337962,3.809753322
10449905,3.808536497
10060187,3.808250593
10796513,3.808235746
10788585,3.807795251
10879651,3.807730974
10230049,3.806822849
10790909,3.805329622
10490472,3.80505558
10928259,3.804477827
10835481,3.804429932
10596545,3.803962514
10548809,3.803740757
10036226,3.803366947
10765310,3.802761323
10951379,3.802436401
10859104,3.801657228
10407216,3.801082601
1205416,3.800512659
10951385,3.800397067
10819534,3.799790642
10453155,3.799620637
10874810,3.798106741
10796670,3.797684078
10991467,3.797228153
10730850,3.795070629
10864884,3.793670004
10812862,3.792385095
10092833,3.791882144
10172134,3.789950535
10886041,3.789846329
10232132,3.789073935
10365034,3.788249292
10015371,3.788186844
10200780,3.786442389
10569792,3.784246765
10895101,3.783771465
10800355,3.782735784
10397646,3.782386255
10887978,3.781624688
10053341,3.781140188
10167413,3.780662319
10747516,3.780581704
10960561,3.779827775
10968939,3.777577588
1290377,3.777406074
10319286,3.777306629
10551678,3.776448402
10473316,3.776343238
10263523,3.776279432
10448491,3.775413307
10785150,3.775028955
10574735,3.774322069
10697216,3.774299375
10964874,3.773994511
11063496,3.773977918
10913930,3.773676113
10906531,3.773422768
10660009,3.77309698
