Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10560396,4.8,4.8,4.8,4.6,4.8,4.8
10458390,4.3,4.8,4.8,3.8,3.3,3.8
10747505,4.2,4.8,4.8,4.7,3.6,4.8
1204053,3.8,4.8,3.8,3.6,4.8,4.1
10813200,4.3,4.8,4.8,3.7,3.8,3.3
10894759,2.8,3.8,3.6,2.6,2.8,2.8
10134681,4.8,3.8,3.8,4.3,3.8,3.8
10880069,3.3,3.8,3.8,3.7,3.7,3.2
10856127,2.8,3.8,2.8,3.8,2.7,2.8
10759427,3.8,3.8,3.8,3.8,3.8,3.8
10974368,2.6,3.8,3.6,3.1,3.8,3.6
10789242,4.8,4.8,4.8,4.6,4.6,4.2
10015304,4.8,4.8,4.8,4.3,4.8,3.8
10969700,4.8,4.8,4.6,3.8,4.6,4.1
10861594,4.7,4.8,3.8,4.8,4.7,3.8
10607801,4.2,4.8,3.6,4.2,4.3,3.1
10227020,4.3,4.8,4.8,4.3,4.7,4.7
10765301,3.8,4.8,2.8,3.3,2.8,3.8
10828166,4.8,4.8,3.8,3.8,4.3,4.3
11032794,4.8,4.8,4.8,4.8,4.7,4.2
10709803,4.8,4.8,4.8,4.6,4.6,4.1
10826819,4.8,4.8,4.8,4.8,4.8,4.8
10264912,4.3,4.8,3.8,4.8,4.3,4.3
10497333,3.6,3.8,2.6,2.6,3.7,2.6
10433736,3.8,3.8,3.8,3.2,3.8,2.6
10933830,3.8,4.3,3.8,4.8,4.3,3.8
10898677,4.8,4.8,3.8,4.3,3.8,3.8
10837471,4.8,4.8,3.8,4.2,3.8,3.7
10985817,3.7,3.7,3.8,3.7,3.6,3.6
10848084,3.3,3.8,2.6,3.7,3.8,3.7
10921703,3.6,4.8,3.6,3.8,4.3,3.8
10913910,4.8,4.8,4.8,4.8,4.8,4.8
11022471,3.8,4.3,3.8,2.8,3.8,2.8
10921116,3.3,2.8,2.8,2.8,3.1,2.5
10998653,4.2,4.8,3.6,3.6,3.8,2.5
10098020,4.1,4.8,4.8,4.6,4.4,4.6
145977,4.8,4.8,4.8,4.7,4.6,4.6
10961011,4.8,4.8,4.8,4.3,4.8,4.3
10477048,4.3,4.8,4.8,3.8,3.8,3.8
10769378,3.6,4.8,3.6,4.2,3.6,4.6
10779218,3.8,4.3,3.6,3.6,3.6,3.4
10653860,3.7,4.8,3.6,4.3,3.8,3.8
1204321,3.8,3.8,3.8,3.3,3.8,4.3
10279051,4.3,4.3,3.8,3.8,3.8,3.8
1203774,3.8,3.8,3.8,3.8,3.8,3.8
10587555,3.6,4.7,3.6,4.1,4.8,3.6
10956613,3.8,3.8,3.8,3.8,3.6,3.8
10060187,4.6,4.6,3.6,4.6,4.1,3.6
10918826,4.7,4.8,4.6,4.3,3.8,3.3
10852405,2.8,3.8,2.6,3.7,3.8,2.7
10653723,3.3,3.8,3.8,2.8,2.8,2.7
11022476,3.8,3.7,3.6,3.8,3.8,3.6
10847660,3.7,4.8,4.8,4.8,4.8,4.8
10903316,3.1,3.8,3.8,3.6,3.8,3.8
10755320,2.6,3.3,2.6,2.6,2.6,2.6
11008808,4.6,4.6,3.6,3.6,3.6,3.6
10991460,4.8,4.6,4.8,4.8,4.6,4.8
10957653,4.8,4.3,3.6,4.8,3.3,3.7
10747519,4.3,4.2,3.8,3.8,3.8,3.8
10285075,4.8,4.8,4.8,4.7,3.8,3.8
10647916,4.1,4.8,3.6,4.6,3.8,3.6
1290216,4.6,4.8,3.8,3.7,4.3,3.8
1204415,4.6,4.6,4.6,3.6,4.6,4.1
10650920,4.8,4.8,3.6,4.1,4.8,3.7
1203769,4.8,4.8,3.8,4.3,4.3,3.8
1290361,4.8,4.8,4.8,4.8,4.8,4.8
